some text, as header of the file
[ITE][LOC]13[/LOC][VAR]poly(xs, center) * poly(xs, begin) > 0[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]13[/LOC][VAR]poly(xs, center) * poly(xs, begin) > 0[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]13[/LOC][VAR]poly(xs, center) * poly(xs, begin) > 0[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]13[/LOC][VAR]poly(xs, center) * poly(xs, begin) > 0[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]13[/LOC][VAR]poly(xs, center) * poly(xs, begin) > 0[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]13[/LOC][VAR]poly(xs, center) * poly(xs, begin) > 0[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]13[/LOC][VAR]poly(xs, center) * poly(xs, begin) > 0[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]13[/LOC][VAR]poly(xs, center) * poly(xs, begin) > 0[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]13[/LOC][VAR]poly(xs, center) * poly(xs, begin) > 0[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]13[/LOC][VAR]poly(xs, center) * poly(xs, begin) > 0[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]13[/LOC][VAR]poly(xs, center) * poly(xs, begin) > 0[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]13[/LOC][VAR]poly(xs, center) * poly(xs, begin) > 0[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]13[/LOC][VAR]poly(xs, center) * poly(xs, begin) > 0[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]13[/LOC][VAR]poly(xs, center) * poly(xs, begin) > 0[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]13[/LOC][VAR]poly(xs, center) * poly(xs, begin) > 0[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]13[/LOC][VAR]poly(xs, center) * poly(xs, begin) > 0[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]13[/LOC][VAR]poly(xs, center) * poly(xs, begin) > 0[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]13[/LOC][VAR]poly(xs, center) * poly(xs, begin) > 0[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]13[/LOC][VAR]poly(xs, center) * poly(xs, begin) > 0[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]13[/LOC][VAR]poly(xs, center) * poly(xs, begin) > 0[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]13[/LOC][VAR]poly(xs, center) * poly(xs, begin) > 0[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]13[/LOC][VAR]poly(xs, center) * poly(xs, begin) > 0[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]13[/LOC][VAR]poly(xs, center) * poly(xs, begin) > 0[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]13[/LOC][VAR]poly(xs, center) * poly(xs, begin) > 0[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]13[/LOC][VAR]poly(xs, center) * poly(xs, begin) > 0[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]13[/LOC][VAR]poly(xs, center) * poly(xs, begin) > 0[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]13[/LOC][VAR]poly(xs, center) * poly(xs, begin) > 0[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]13[/LOC][VAR]poly(xs, center) * poly(xs, begin) > 0[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]13[/LOC][VAR]poly(xs, center) * poly(xs, begin) > 0[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]13[/LOC][VAR]poly(xs, center) * poly(xs, begin) > 0[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]13[/LOC][VAR]poly(xs, center) * poly(xs, begin) > 0[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]13[/LOC][VAR]poly(xs, center) * poly(xs, begin) > 0[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]13[/LOC][VAR]poly(xs, center) * poly(xs, begin) > 0[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]13[/LOC][VAR]poly(xs, center) * poly(xs, begin) > 0[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]13[/LOC][VAR]poly(xs, center) * poly(xs, begin) > 0[/VAR][VAL]True[/VAL][/ITE]
