some text, as header of the file
[ITE][LOC]4[/LOC][VAR]not s[/VAR][VAL]False[/VAL][/ITE]
[ITE][LOC]10[/LOC][VAR]letter == ','[/VAR][VAL]False[/VAL][/ITE]
[ITE][LOC]10[/LOC][VAR]letter == ','[/VAR][VAL]False[/VAL][/ITE]
[ITE][LOC]10[/LOC][VAR]letter == ','[/VAR][VAL]False[/VAL][/ITE]
[ITE][LOC]10[/LOC][VAR]letter == ','[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]10[/LOC][VAR]letter == ','[/VAR][VAL]False[/VAL][/ITE]
[ITE][LOC]10[/LOC][VAR]letter == ','[/VAR][VAL]False[/VAL][/ITE]
[ITE][LOC]10[/LOC][VAR]letter == ','[/VAR][VAL]False[/VAL][/ITE]
[ITE][LOC]10[/LOC][VAR]letter == ','[/VAR][VAL]False[/VAL][/ITE]
[ITE][LOC]10[/LOC][VAR]letter == ','[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]10[/LOC][VAR]letter == ','[/VAR][VAL]False[/VAL][/ITE]
[ITE][LOC]10[/LOC][VAR]letter == ','[/VAR][VAL]False[/VAL][/ITE]
[ITE][LOC]10[/LOC][VAR]letter == ','[/VAR][VAL]False[/VAL][/ITE]
[ITE][LOC]10[/LOC][VAR]letter == ','[/VAR][VAL]False[/VAL][/ITE]
[ITE][LOC]10[/LOC][VAR]letter == ','[/VAR][VAL]False[/VAL][/ITE]
[ITE][LOC]10[/LOC][VAR]letter == ','[/VAR][VAL]False[/VAL][/ITE]
[ITE][LOC]10[/LOC][VAR]letter == ','[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]10[/LOC][VAR]letter == ','[/VAR][VAL]False[/VAL][/ITE]
[ITE][LOC]10[/LOC][VAR]letter == ','[/VAR][VAL]False[/VAL][/ITE]
[ITE][LOC]10[/LOC][VAR]letter == ','[/VAR][VAL]False[/VAL][/ITE]
[ITE][LOC]10[/LOC][VAR]letter == ','[/VAR][VAL]False[/VAL][/ITE]
[ITE][LOC]10[/LOC][VAR]letter == ','[/VAR][VAL]False[/VAL][/ITE]
[ITE][LOC]10[/LOC][VAR]letter == ','[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]10[/LOC][VAR]letter == ','[/VAR][VAL]False[/VAL][/ITE]
[ITE][LOC]10[/LOC][VAR]letter == ','[/VAR][VAL]False[/VAL][/ITE]
[ITE][LOC]10[/LOC][VAR]letter == ','[/VAR][VAL]False[/VAL][/ITE]
[ITE][LOC]10[/LOC][VAR]letter == ','[/VAR][VAL]False[/VAL][/ITE]
[ITE][LOC]10[/LOC][VAR]letter == ','[/VAR][VAL]False[/VAL][/ITE]
[ITE][LOC]10[/LOC][VAR]letter == ','[/VAR][VAL]True[/VAL][/ITE]
[ITE][LOC]10[/LOC][VAR]letter == ','[/VAR][VAL]False[/VAL][/ITE]
[ITE][LOC]10[/LOC][VAR]letter == ','[/VAR][VAL]False[/VAL][/ITE]
[ITE][LOC]10[/LOC][VAR]letter == ','[/VAR][VAL]False[/VAL][/ITE]
[ITE][LOC]10[/LOC][VAR]letter == ','[/VAR][VAL]False[/VAL][/ITE]
